bot;aposta_id;event_id;mercado_tick;mercado_tipo;linha;selecao;odd;liga;apostado_em;veredito;motivos
SENTINELA-B-NBA2K-HC;70661;89334388;Handicap;156;-4.50;Dubai (Koko) -4.5;2.020;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 21:56:57.432377;OK;
SENTINELA-B-NBA2K-HC;70662;89334388;Handicap;156;4.50;Bayern Munich (HolyPurp) +4.5;1.600;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 21:56:57.432710;OK;
SENTINELA-B-NBA2K-HC;70691;89334263;Handicap;156;-4.50;Monaco (Mitko) -4.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:05:12.560965;OK;
SENTINELA-B-NBA2K-HC;70693;89334263;Handicap;156;-6.50;Monaco (Mitko) -6.5;1.930;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:05:12.563098;OK;
SENTINELA-B-NBA2K-HC;70692;89334263;Handicap;156;6.50;Milano (MrKrab) (Esports) +6.5;1.670;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:05:12.563135;OK;
SENTINELA-B-NBA2K-HC;70756;89334353;Handicap;156;-15.50;Bayern Munich (HolyPurp) -15.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:40:16.226810;OK;
SENTINELA-B-NBA2K-HC;70761;89334255;Handicap;156;-17.50;Dubai (Koko) -17.5;1.930;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:41:04.177444;OK;
SENTINELA-B-NBA2K-HC;70760;89334255;Handicap;156;16.50;Milano (MrKrab) (Esports) +16.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:41:04.177963;OK;
SENTINELA-B-NBA2K-HC;70762;89334255;Handicap;156;17.50;Milano (MrKrab) (Esports) +17.5;1.670;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:41:04.179521;OK;
SENTINELA-B-NBA2K-HC;70763;89334255;Handicap;156;15.50;Milano (MrKrab) (Esports) +15.5;1.870;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 22:41:04.179569;OK;
SENTINELA-B-NBA2K-HC;70802;89334351;Handicap;156;2.50;Monaco (Mitko) +2.5;1.570;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:15:14.319044;OK;
SENTINELA-B-NBA2K-HC;70805;89334257;Handicap;156;-4.50;Anadolu Efes (Legolas792) (Esports) -4.5;1.980;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:15:15.404234;OK;
SENTINELA-B-NBA2K-HC;70806;89334257;Handicap;156;2.50;Milano (MrKrab) (Esports) +2.5;1.880;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:15:15.407110;OK;
SENTINELA-B-NBA2K-HC;70814;89334260;Handicap;156;15.50;Milano (MrKrab) (Esports) +15.5;1.620;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:16.137104;OK;
SENTINELA-B-NBA2K-HC;70815;89334260;Handicap;156;-13.50;Bayern Munich (HolyPurp) -13.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:16.139165;OK;
SENTINELA-B-NBA2K-HC;70817;89334364;Handicap;156;1.50;Anadolu Efes (Legolas792) (Esports) +1.5;1.980;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.098090;OK;
SENTINELA-B-NBA2K-HC;70818;89334364;Handicap;156;-2.50;Monaco (Mitko) -2.5;1.780;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.098524;OK;
SENTINELA-B-NBA2K-HC;70819;89334364;Handicap;156;2.50;Anadolu Efes (Legolas792) (Esports) +2.5;1.780;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.100224;OK;
SENTINELA-B-NBA2K-HC;70820;89334364;Handicap;156;-1.50;Monaco (Mitko) -1.5;1.620;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.100525;OK;
SENTINELA-B-NBA2K-HC;70821;89334364;Handicap;156;-3.50;Monaco (Mitko) -3.5;1.880;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.100918;OK;
SENTINELA-B-NBA2K-HC;70822;89334364;Handicap;156;3.50;Anadolu Efes (Legolas792) (Esports) +3.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-20 23:50:19.101502;OK;
SENTINELA-B-NBA2K-HC;70843;89334316;Handicap;156;-4.50;Dubai (Koko) -4.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:14.448248;OK;
SENTINELA-B-NBA2K-HC;70844;89334316;Handicap;156;-5.50;Dubai (Koko) -5.5;1.880;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:14.449142;OK;
SENTINELA-B-NBA2K-HC;70846;89334316;Handicap;156;5.50;Anadolu Efes (Legolas792) (Esports) +5.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:14.449887;OK;
SENTINELA-B-NBA2K-HC;70845;89334316;Handicap;156;3.50;Anadolu Efes (Legolas792) (Esports) +3.5;1.980;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:14.449905;OK;
SENTINELA-B-NBA2K-HC;70850;89334376;Handicap;156;3.50;Monaco (Mitko) +3.5;1.830;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:23.605620;OK;
SENTINELA-B-NBA2K-HC;70851;89334376;Handicap;156;2.50;Monaco (Mitko) +2.5;1.980;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:23.606383;OK;
SENTINELA-B-NBA2K-HC;70852;89334376;Handicap;156;-2.50;Bayern Munich (HolyPurp) -2.5;1.620;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 00:25:23.606885;OK;
SENTINELA-B-NBA2K-HC;70888;89388650;Handicap;156;3.50;Monaco (Aiger) +3.5;1.600;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:10:20.951493;OK;
SENTINELA-B-NBA2K-HC;70889;89388650;Handicap;156;1.50;Monaco (Aiger) +1.5;1.830;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:10:20.951969;OK;
SENTINELA-B-NBA2K-HC;70892;89388658;Handicap;156;-4.50;Milano (DJKeYDJ) (Esports) -4.5;1.720;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:10:25.737301;OK;
SENTINELA-B-NBA2K-HC;70918;89388645;Handicap;156;-13.50;Fenerbahce (Z1K0) -13.5;1.880;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:45:11.020914;OK;
SENTINELA-B-NBA2K-HC;70919;89388645;Handicap;156;13.50;Milano (DJKeYDJ) (Esports) +13.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:45:11.021253;OK;
SENTINELA-B-NBA2K-HC;70920;89388645;Handicap;156;11.50;Milano (DJKeYDJ) (Esports) +11.5;1.930;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:45:11.021606;OK;
SENTINELA-B-NBA2K-HC;70925;89388648;Handicap;156;-7.50;Crvena Zvezda (SnoopCat) -7.5;1.670;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 01:45:12.201851;OK;
SENTINELA-B-NBA2K-HC;70957;89388653;Handicap;156;2.50;Monaco (Aiger) +2.5;1.720;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:20:10.560044;OK;
SENTINELA-B-NBA2K-HC;70961;89388636;Handicap;156;-1.50;Crvena Zvezda (SnoopCat) -1.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:20:13.007592;OK;
SENTINELA-B-NBA2K-HC;70991;89388654;Handicap;156;7.50;Monaco (Aiger) +7.5;1.780;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:55:14.060429;OK;
SENTINELA-B-NBA2K-HC;70993;89388654;Handicap;156;-6.50;Fenerbahce (Z1K0) -6.5;1.670;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:55:14.061141;OK;
SENTINELA-B-NBA2K-HC;70992;89388654;Handicap;156;6.50;Monaco (Aiger) +6.5;1.930;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:55:14.061676;OK;
SENTINELA-B-NBA2K-HC;70997;89388647;Handicap;156;-4.50;Crvena Zvezda (SnoopCat) -4.5;1.830;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 02:55:29.589821;OK;
SENTINELA-B-NBA2K-HC;71027;89388657;Handicap;156;3.50;Milano (DJKeYDJ) (Esports) +3.5;1.820;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:30:15.813627;OK;
SENTINELA-B-NBA2K-HC;71030;89388657;Handicap;156;2.50;Milano (DJKeYDJ) (Esports) +2.5;1.980;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:30:15.814628;OK;
SENTINELA-B-NBA2K-HC;71028;89388657;Handicap;156;-3.50;Monaco (Aiger) -3.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:30:15.815054;OK;
SENTINELA-B-NBA2K-HC;71029;89388657;Handicap;156;4.50;Milano (DJKeYDJ) (Esports) +4.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:30:15.815991;OK;
SENTINELA-B-NBA2K-HC;71038;89388638;Handicap;156;8.50;Bayern Munich (Riodan) (Esports) +8.5;1.700;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:45:18.509925;OK;
SENTINELA-B-NBA2K-HC;71039;89388638;Handicap;156;-7.50;Fenerbahce (Z1K0) -7.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 03:45:18.511004;OK;
SENTINELA-B-NBA2K-HC;71052;89388641;Handicap;156;3.50;Monaco (Aiger) +3.5;1.750;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 04:20:15.518346;OK;
SENTINELA-B-NBA2K-HC;71054;89388655;Handicap;156;3.50;Bayern Munich (Riodan) (Esports) +3.5;1.880;NBA 2K Battle European Conference 4x5 minutes;2026-07-21 04:20:17.884997;OK;
