Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:00:00,Handicap,Denver Nuggets (BLADE) +15.5,15.5,0.9878048780487805,82,1.0,10,0.95,20,0.9666666666666667,30,0.98,50,1.75,37-21,54-42,Green,0.75,90530277
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:00:33,Handicap,Denver Nuggets (BLADE) +16.5,16.5,0.9878048780487805,82,1.0,10,0.95,20,0.9666666666666667,30,0.98,50,1.75,40-23,54-42,Green,0.75,90530277
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:01:19,Handicap,Denver Nuggets (BLADE) +13.5,13.5,0.975609756097561,82,1.0,10,0.9,20,0.9333333333333333,30,0.96,50,1.72,40-27,54-42,Green,0.72,90530277
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:01:42,Handicap,Denver Nuggets (BLADE) +12.5,12.5,0.9634146341463414,82,0.9,10,0.85,20,0.9,30,0.94,50,1.85,40-27,54-42,Green,0.85,90530277
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:02:16,Handicap,Denver Nuggets (BLADE) +11.5,11.5,0.9512195121951219,82,0.9,10,0.8,20,0.8666666666666667,30,0.92,50,1.85,40-29,54-42,Red,-1.0,90530277
,NBA H2H GG League 4x5 minutes,ADMIRAL x BLADE,ADMIRAL,Dallas Mavericks,BLADE,Denver Nuggets,11/08/2026,03:03:33,Handicap,Denver Nuggets (BLADE) +14.5,14.5,0.9878048780487805,82,1.0,10,0.95,20,0.9666666666666667,30,0.98,50,1.83,46-31,54-42,Green,0.83,90530277
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:00:33,Handicap,Cleveland Cavaliers (SIGNAL) +6.5,6.5,1.0,6,1.0,6,1.0,6,1.0,6,1.0,6,1.78,34-28,53-55,Green,0.78,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:00:55,Handicap,Cleveland Cavaliers (SIGNAL) +7.5,7.5,1.0,6,1.0,6,1.0,6,1.0,6,1.0,6,1.78,34-28,53-55,Green,0.78,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:01:19,Handicap,Cleveland Cavaliers (SIGNAL) +5.5,5.5,1.0,6,1.0,6,1.0,6,1.0,6,1.0,6,1.75,34-30,53-55,Green,0.75,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:02:39,Handicap,Cleveland Cavaliers (SIGNAL) +3.5,3.5,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,1.72,38-36,53-55,Green,0.72,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:02:51,Handicap,Cleveland Cavaliers (SIGNAL) +2.5,2.5,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,1.72,38-36,53-55,Green,0.72,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:03:53,Handicap,Phoenix Suns (AQUA) +2.5,2.5,0.5,6,0.5,6,0.5,6,0.5,6,0.5,6,1.4,38-38,53-55,Green,0.4,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:05:07,Handicap,Cleveland Cavaliers (SIGNAL) +4.5,4.5,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,0.8333333333333334,6,1.85,42-38,53-55,Green,0.85,90530271
,NBA H2H GG League 4x5 minutes,AQUA x SIGNAL,AQUA,Phoenix Suns,SIGNAL,Cleveland Cavaliers,11/08/2026,03:08:04,Handicap,Phoenix Suns (AQUA) +3.5,3.5,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,1.16,42-43,53-55,Green,0.16,90530271
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:00:33,Handicap,Dallas Mavericks (SPARKZ) +5.5,5.5,0.8333333333333334,72,0.6,10,0.7,20,0.8,30,0.82,50,1.72,8-5,58-53,Green,0.72,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:00:55,Handicap,Dallas Mavericks (SPARKZ) +3.5,3.5,0.7638888888888888,72,0.5,10,0.65,20,0.7333333333333333,30,0.74,50,1.75,8-7,58-53,Red,-1.0,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:01:31,Handicap,Dallas Mavericks (SPARKZ) +4.5,4.5,0.8055555555555556,72,0.6,10,0.7,20,0.8,30,0.8,50,1.85,12-9,58-53,Red,-1.0,90530284
,NBA H2H GG League 4x5 minutes,MARINE x SPARKZ,MARINE,Orlando Magic,SPARKZ,Dallas Mavericks,11/08/2026,03:02:39,Handicap,Dallas Mavericks (SPARKZ) +2.5,2.5,0.6666666666666666,72,0.4,10,0.6,20,0.6333333333333333,30,0.68,50,1.85,12-9,58-53,Red,-1.0,90530284
