Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Últ. 30,Qtd Últ. 30,Últ. 10,Qtd Últ. 10,Últ. 1,Qtd Últ. 1,Todas,Qtd Todas,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:06,Handicap,Partizan (tapachan) +8.5,8.5,0.5333333333333333,30,0.3,10,1.0,1,0.6875,64,1.88,28-33,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:06,Handicap,Partizan (tapachan) +9.5,9.5,0.6,30,0.4,10,1.0,1,0.71875,64,1.75,28-33,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:17,Handicap,Partizan (tapachan) +10.5,10.5,0.6666666666666666,30,0.4,10,1.0,1,0.765625,64,1.72,28-33,70-80,Green,0.72,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:33,Handicap,Zalgiris Kaunas (CRAMON) -7.5,-7.5,0.5333333333333333,30,0.8,10,1.0,1,0.359375,64,1.6,28-33,70-80,Green,0.6,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:33,Handicap,Partizan (tapachan) +7.5,7.5,0.4666666666666667,30,0.2,10,0.0,1,0.640625,64,2.0,28-33,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:00:45,Handicap,Partizan (tapachan) +6.5,6.5,0.43333333333333335,30,0.2,10,0.0,1,0.609375,64,2.02,30-33,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:02:34,Handicap,Zalgiris Kaunas (CRAMON) -6.5,-6.5,0.5666666666666667,30,0.8,10,1.0,1,0.390625,64,1.62,30-35,70-80,Green,0.62,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:02:46,Handicap,Zalgiris Kaunas (CRAMON) -5.5,-5.5,0.6,30,0.8,10,1.0,1,0.4375,64,1.62,30-35,70-80,Green,0.62,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:02:46,Handicap,Partizan (tapachan) +5.5,5.5,0.4,30,0.2,10,0.0,1,0.5625,64,1.98,30-35,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:03:42,Handicap,Zalgiris Kaunas (CRAMON) -4.5,-4.5,0.6666666666666666,30,0.8,10,1.0,1,0.46875,64,1.72,32-35,70-80,Green,0.72,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:03:42,Handicap,Partizan (tapachan) +4.5,4.5,0.3333333333333333,30,0.2,10,0.0,1,0.53125,64,1.87,32-35,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:05:57,Handicap,Zalgiris Kaunas (CRAMON) -3.5,-3.5,0.7,30,0.9,10,1.0,1,0.5,64,1.87,38-39,70-80,Green,0.87,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:05:57,Handicap,Partizan (tapachan) +3.5,3.5,0.3,30,0.1,10,0.0,1,0.5,64,1.72,38-39,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:05:57,Handicap,Zalgiris Kaunas (CRAMON) -2.5,-2.5,0.8,30,0.9,10,1.0,1,0.546875,64,1.7,38-39,70-80,Green,0.7,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:05:57,Handicap,Partizan (tapachan) +2.5,2.5,0.2,30,0.1,10,0.0,1,0.453125,64,1.88,38-39,70-80,Red,-1.0,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:07:12,Handicap,Zalgiris Kaunas (CRAMON) -8.5,-8.5,0.4666666666666667,30,0.7,10,0.0,1,0.3125,64,1.78,38-46,70-80,Green,0.78,88238423
,NBA 2K Battle European Conference 4x5 minutes,tapachan x CRAMON,tapachan,Partizan,CRAMON,Zalgiris Kaunas,01/07/2026,03:09:04,Handicap,Zalgiris Kaunas (CRAMON) -9.5,-9.5,0.4,30,0.6,10,0.0,1,0.28125,64,1.82,45-54,70-80,Green,0.82,88238423
