Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:03,Total de Gols,Under,9.5,0.712,250,0.7,10,0.7,20,0.7,30,0.7,50,0.71,100,1.97,2-4,2-5,Green,0.97,17494157
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:50,Total de Gols,Under,8.5,0.552,250,0.4,10,0.5,20,0.5333333333333333,30,0.5,50,0.48,100,1.97,2-4,2-5,Green,0.97,17494157
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:03:00,Total de Gols,Under,7.5,0.412,250,0.4,10,0.5,20,0.5,30,0.44,50,0.37,100,2.56,2-5,2-5,Green,1.56,17494157
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:00:16,Total de Gols,Under,6.5,0.4444444444444444,18,0.4,10,0.4444444444444444,18,0.4444444444444444,18,0.4444444444444444,18,0.4444444444444444,18,1.8,0-0,4-1,Green,0.8,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:02:32,Total de Gols,Under,5.5,0.2777777777777778,18,0.3,10,0.2777777777777778,18,0.2777777777777778,18,0.2777777777777778,18,0.2777777777777778,18,2.11,0-0,4-1,Green,1.11,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:04:22,Total de Gols,Under,4.5,0.16666666666666666,18,0.2,10,0.16666666666666666,18,0.16666666666666666,18,0.16666666666666666,18,0.16666666666666666,18,2.11,0-0,4-1,Red,-1.0,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:07:27,Total de Gols,Under,3.5,0.1111111111111111,18,0.1,10,0.1111111111111111,18,0.1111111111111111,18,0.1111111111111111,18,0.1111111111111111,18,2.17,0-1,4-1,Red,-1.0,17503064
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:00:06,Total de Gols,Under,7.5,0.45454545454545453,44,0.6,10,0.55,20,0.4666666666666667,30,0.45454545454545453,44,0.45454545454545453,44,1.98,0-0,3-2,Green,0.98,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:02:26,Total de Gols,Under,6.5,0.29545454545454547,44,0.4,10,0.4,20,0.3333333333333333,30,0.29545454545454547,44,0.29545454545454547,44,2.03,0-0,3-2,Green,1.03,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:03:39,Total de Gols,Under,8.5,0.6136363636363636,44,0.7,10,0.75,20,0.6333333333333333,30,0.6136363636363636,44,0.6136363636363636,44,1.62,1-0,3-2,Green,0.62,17502959
