Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:03,Total de Gols,Under,9.5,,,,,1.97,2-4,2-5,Green,0.97,17494157
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:00:50,Total de Gols,Under,8.5,,,,,1.97,2-4,2-5,Green,0.97,17494157
, CLA-UA Champions Cyber League (UA),drksd3 x Galikooo,drksd3,Feyenoord,Galikooo,Benfica,26/08/2026,03:03:00,Total de Gols,Under,7.5,,,,,2.56,2-5,2-5,Green,1.56,17494157
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:00:16,Total de Gols,Under,6.5,,,,,1.8,0-0,4-1,Green,0.8,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:02:32,Total de Gols,Under,5.5,,,,,2.11,0-0,4-1,Green,1.11,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:04:22,Total de Gols,Under,4.5,,,,,2.11,0-0,4-1,Red,-1.0,17503064
, CLA-UA Spain Cyber Cup (UA),k0tik x Shark,k0tik,Girona FC,Shark,Levante,26/08/2026,05:07:27,Total de Gols,Under,3.5,,,,,2.17,0-1,4-1,Red,-1.0,17503064
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:00:06,Total de Gols,Under,7.5,,,,,1.98,0-0,3-2,Green,0.98,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:02:26,Total de Gols,Under,6.5,,,,,2.03,0-0,3-2,Green,1.03,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:03:39,Total de Gols,Under,8.5,,,,,1.62,1-0,3-2,Green,0.62,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:08:43,Total de Gols,Under,5.5,,,,,2.21,2-1,3-2,Green,1.21,17502959
, CLA-UA Spain Cyber Cup (UA),kozak x sensiz,kozak,Getafe,sensiz,Espanyol,26/08/2026,05:10:03,Total de Gols,Under,4.5,,,,,2.32,2-1,3-2,Red,-1.0,17502959
, CLA-UA Italy Cyber Cup (UA),fillanchik x Voron,fillanchik,Lecce,Voron,Inter,26/08/2026,05:00:16,Total de Gols,Under,7.5,,,,,1.74,0-0,3-3,Green,0.74,17502944
, CLA-UA Italy Cyber Cup (UA),fillanchik x Voron,fillanchik,Lecce,Voron,Inter,26/08/2026,05:02:28,Total de Gols,Under,6.5,,,,,2.07,0-0,3-3,Green,1.07,17502944
, CLA-UA Italy Cyber Cup (UA),fillanchik x Voron,fillanchik,Lecce,Voron,Inter,26/08/2026,05:04:29,Total de Gols,Under,5.5,,,,,2.07,0-0,3-3,Red,-1.0,17502944
, CLA-UA Italy Cyber Cup (UA),fillanchik x Voron,fillanchik,Lecce,Voron,Inter,26/08/2026,05:06:18,Total de Gols,Under,4.5,,,,,2.12,0-0,3-3,Red,-1.0,17502944
, CLA-UA Italy Cyber Cup (UA),fillanchik x Voron,fillanchik,Lecce,Voron,Inter,26/08/2026,05:07:22,Total de Gols,Under,6.5,,,,,2.07,0-1,3-3,Green,1.07,17502944
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:14:16,Total de Gols,Under,6.5,,,,,2.02,0-0,4-1,Green,1.02,17503065
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:15:10,Total de Gols,Under,7.5,,,,,1.77,0-0,4-1,Green,0.77,17503065
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:15:30,Total de Gols,Under,8.5,,,,,1.69,0-1,4-1,Green,0.69,17503065
, CLA-UA Spain Cyber Cup (UA),aloha x Shark,aloha,Celta Vigo,Shark,Levante,26/08/2026,05:19:18,Total de Gols,Under,9.5,,,,,1.57,3-1,4-1,Green,0.57,17503065
