Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 1,Qtd Últ. 1,Últ. 5,Qtd Últ. 5,Últ. 10,Qtd Últ. 10,Últ. 30,Qtd Últ. 30,Últ. 5 (ind pior),Últ. 5 (ind A),Últ. 5 (ind B),Últ. 10 (ind pior),Últ. 10 (ind A),Últ. 10 (ind B),Últ. 8h (ind pior),Últ. 8h (ind A),Últ. 8h (ind B),Qtd Ind A,Qtd Ind B,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,B-EBASKBAT4X5,yangrainmaker x Kadzima,yangrainmaker,OKC Thunder,Kadzima,TOR Raptors,15/07/2026,06:11:01,Total de pontos,Over,131.5,0.3163265306122449,294,1.0,1,0.4,5,0.3,10,0.16666666666666666,30,0.4,0.4,0.4,0.3,0.5,0.3,1.0,1.0,1.0,4722,4857,1.833,42-61,63-69,Green,0.833,12229332
,B-EBASKBAT4X5,yangrainmaker x Kadzima,yangrainmaker,OKC Thunder,Kadzima,TOR Raptors,15/07/2026,06:11:01,Total de pontos,Under,131.5,0.6836734693877551,294,0.0,1,0.6,5,0.7,10,0.8333333333333334,30,0.6,0.6,0.6,0.5,0.5,0.7,0.0,0.0,0.0,4722,4857,1.833,42-61,63-69,Red,-1.0,12229332
,B-EBASKBAT4X5,yangrainmaker x Kadzima,yangrainmaker,OKC Thunder,Kadzima,TOR Raptors,15/07/2026,06:12:11,Total de pontos,Over,132.5,0.2925170068027211,294,1.0,1,0.4,5,0.3,10,0.16666666666666666,30,0.4,0.4,0.4,0.3,0.5,0.3,1.0,1.0,1.0,4722,4857,1.869,48-63,63-69,Red,-1.0,12229332
,B-EBASKBAT4X5,yangrainmaker x Kadzima,yangrainmaker,OKC Thunder,Kadzima,TOR Raptors,15/07/2026,06:12:11,Total de pontos,Under,132.5,0.7074829931972789,294,0.0,1,0.6,5,0.7,10,0.8333333333333334,30,0.6,0.6,0.6,0.5,0.5,0.7,0.0,0.0,0.0,4722,4857,1.8,48-63,63-69,Green,0.8,12229332
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:24:11,Total de pontos,Over,142.5,0.38333333333333336,120,0.0,1,0.4,5,0.5,10,0.4666666666666667,30,0.2,0.4,0.2,0.1,0.2,0.1,0.0,0.5,0.0,4858,4475,1.833,0-0,59-73,Red,-1.0,12229359
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:24:11,Total de pontos,Under,142.5,0.6166666666666667,120,1.0,1,0.6,5,0.5,10,0.5333333333333333,30,0.6,0.6,0.8,0.8,0.8,0.9,0.5,0.5,1.0,4858,4475,1.833,0-0,59-73,Green,0.833,12229359
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:25:23,Total de pontos,Over,143.5,0.35,120,0.0,1,0.4,5,0.5,10,0.43333333333333335,30,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.5,0.0,4858,4475,1.869,2-0,59-73,Red,-1.0,12229359
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:25:23,Total de pontos,Under,143.5,0.65,120,1.0,1,0.6,5,0.5,10,0.5666666666666667,30,0.8,0.8,0.8,0.9,0.9,0.9,0.5,0.5,1.0,4858,4475,1.8,2-0,59-73,Green,0.8,12229359
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:25:33,Total de pontos,Over,141.5,0.39166666666666666,120,0.0,1,0.4,5,0.5,10,0.4666666666666667,30,0.2,0.4,0.2,0.1,0.2,0.1,0.0,0.5,0.0,4858,4475,1.8,2-0,59-73,Red,-1.0,12229359
,B-EBASKBAT4X5,Kadzima x The_Professor,Kadzima,TOR Raptors,The_Professor,SAC Kings,15/07/2026,06:25:33,Total de pontos,Under,141.5,0.6083333333333333,120,1.0,1,0.6,5,0.5,10,0.5333333333333333,30,0.6,0.6,0.8,0.8,0.8,0.9,0.5,0.5,1.0,4858,4475,1.869,2-0,59-73,Green,0.869,12229359
